membership:3_PacBio_aggregated_set_id	3_PacBio_aggregated
BCM_Fam_BCM17290	BCM_m84113_240927_185953_s3_A11...PacBio
BCM_Fam_BCM17290	BCM_m84113_240927_205908_s4_A11...PacBio
BCM_Fam_BCM17294	BCM_m84113_240930_171211_s1_A11...PacBio
BCM_Fam_BCM17298	BCM_m84113_240930_191114_s2_A11...PacBio
BCM_Fam_BCM17303	BCM_m84113_240930_211023_s3_A11...PacBio
BCM_Fam_BH16330	BCM_m84113_241002_140046_s1_A11...PacBio
BCM_Fam_BCM17298	BCM_m84113_241002_155952_s2_A11...PacBio
BCM_Fam_BH13353	BCM_m84113_241005_150059_s3_A11...PacBio
BCM_Fam_BH13353	BCM_m84113_241005_170004_s4_A11...PacBio
BCM_Fam_BH13353	BCM_m84113_241005_185921_s1_A11...PacBio
BCM_Fam_BH10687	BCM_m84113_241005_205827_s2_A11...PacBio
BCM_Fam_BH11517	BCM_m84113_241011_193254_s3_A11...PacBio
BCM_Fam_BH11517	BCM_m84113_241011_233116_s1_A11...PacBio
BCM_Fam_BH16613	BCM_m84113_250210_151017_s1_A11...PacBio
BCM_Fam_BH16488	BCM_m84113_250210_190838_s3_A11...PacBio
BCM_Fam_BH16488	BCM_m84113_250210_210748_s4_A11...PacBio
BCM_Fam_BH16613	BCM_m84113_250212_050007_s3_A11...PacBio
BCM_Fam_BH17112	BCM_m84113_250212_065917_s4_A11...PacBio
